Hyperparameter Strategy	Layers	nodes_per_layer	batch_size	learning_rate	dropout_rate	epochs	MAE	R2
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	79.11699676513672	0.9411418437957764
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	79.12223052978516	0.9396278858184814
Evolution	1	128	128	0.001306202113332106	0.33005508928145344	50	79.16429901123047	0.9354896545410156
Evolution	1	128	128	0.001306202113332106	0.587899799077668	50	79.17650604248047	0.9417128562927246
Evolution	0	128	128	0.0024189172932207563	0.426514149825001	50	79.22858428955078	0.9385888576507568
Evolution	1	128	128	0.001306202113332106	0.4722614887209451	50	79.26209259033203	0.9394954442977905
Evolution	1	128	128	0.0009302852719666699	0.426514149825001	50	79.27259063720703	0.9449681639671326
Evolution	0	128	128	0.001306202113332106	0.587899799077668	50	79.28032684326172	0.9412039518356323
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	79.28229522705078	0.9406984448432922
Evolution	1	128	128	0.001306202113332106	0.587899799077668	50	79.29953002929688	0.942340075969696
Evolution	1	128	128	0.002302635053779588	0.426514149825001	50	79.33035278320312	0.9345908164978027
Evolution	1	128	128	0.0024189172932207563	0.426514149825001	50	79.33946990966797	0.9364520311355591
Evolution	1	128	128	0.001306202113332106	0.587899799077668	50	79.34416961669922	0.943412184715271
Evolution	1	128	128	0.0017327666906205516	0.426514149825001	50	79.35336303710938	0.9378497004508972
Evolution	1	128	128	0.002302635053779588	0.587899799077668	50	79.38333892822266	0.9357445240020752
Evolution	1	128	128	0.001306202113332106	0.587899799077668	50	79.41072845458984	0.94133460521698
Evolution	-1	128	128	0.002302635053779588	0.587899799077668	50	79.417236328125	0.9383736252784729
Evolution	1	128	128	0.001306202113332106	0.587899799077668	50	79.42115020751953	0.9396669268608093
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	79.47403717041016	0.9396122694015503
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	79.58960723876953	0.9395636916160583
Evolution	1	128	128	0.002302635053779588	0.587899799077668	50	79.59734344482422	0.938629686832428
Evolution	1	128	128	0.002302635053779588	0.29232802141049763	50	79.67942810058594	0.9357415437698364
Evolution	1	128	128	0.0017921235533987592	0.4722614887209451	50	79.71074676513672	0.9368250966072083
Evolution	1	128	64	0.001306202113332106	0.587899799077668	50	79.71102142333984	0.9383874535560608
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	79.7883071899414	0.9400713443756104
Evolution	0	128	128	0.0019395256375494309	0.426514149825001	50	79.82645416259766	0.936269223690033
Evolution	1	128	128	0.001306202113332106	0.4722614887209451	50	79.83472442626953	0.9408332109451294
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	79.8917465209961	0.9412876963615417
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	79.9016342163086	0.9368966817855835
Evolution	1	256	128	0.001306202113332106	0.426514149825001	50	79.91791534423828	0.9363040924072266
Evolution	1	128	128	0.001306202113332106	0.587899799077668	50	79.99283599853516	0.937756359577179
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	80.00297546386719	0.9373042583465576
Evolution	1	128	128	0.001306202113332106	0.4722614887209451	50	80.01387786865234	0.9417098760604858
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	80.22966766357422	0.938502311706543
Evolution	1	128	256	0.0019395256375494309	0.587899799077668	50	80.39473724365234	0.9372077584266663
Evolution	1	128	128	0.0024189172932207563	0.426514149825001	50	80.40779876708984	0.9356676340103149
Evolution	-1	128	128	0.003073911906966343	0.426514149825001	50	80.57173919677734	0.9357155561447144
Evolution	1	128	128	0.0018290562431957634	0.587899799077668	50	80.58032989501953	0.9378512501716614
Evolution	1	128	256	0.002302635053779588	0.587899799077668	50	80.59162139892578	0.9359303116798401
Evolution	1	128	128	0.003073911906966343	0.426514149825001	50	80.59732818603516	0.9392766952514648
Evolution	1	128	128	0.0024189172932207563	0.426514149825001	50	80.66569519042969	0.9351014494895935
Evolution	1	128	128	0.0024189172932207563	0.426514149825001	50	80.8667984008789	0.9335168600082397
